Input,Output,ObservedProb,ExpectedProb
pat-a,pata,1.0,0.4761906499388249
pat-a,pala,0.0,0.29931960985675304
pat-a,paa,0.0,0.22448974020442203
pat-ta,patta,1.0,0.8571423886139684
pat-ta,palta,0.0,0.08163291567846344
pat-ta,pata,0.0,0.061224695707568236
met-a,meta,1.0,0.4761906499388249
met-a,mela,0.0,0.29931960985675304
met-a,mea,0.0,0.22448974020442203
met-ta,metta,1.0,0.8571423886139684
met-ta,melta,0.0,0.08163291567846344
met-ta,meta,0.0,0.061224695707568236
pot-a,pota,1.0,0.4761906499388249
pot-a,pola,0.0,0.29931960985675304
pot-a,poa,0.0,0.22448974020442203
pot-ta,potta,1.0,0.8571423886139684
pot-ta,polta,0.0,0.08163291567846344
pot-ta,pota,0.0,0.061224695707568236
sut-a,suta,1.0,0.4761906499388249
sut-a,sula,0.0,0.29931960985675304
sut-a,sua,0.0,0.22448974020442203
sut-ta,sutta,1.0,0.8571423886139684
sut-ta,sulta,0.0,0.08163291567846344
sut-ta,suta,0.0,0.061224695707568236
kat-a,kata,1.0,0.4761906499388249
kat-a,kala,0.0,0.29931960985675304
kat-a,kaa,0.0,0.22448974020442203
kat-ta,katta,1.0,0.8571423886139684
kat-ta,kalta,0.0,0.08163291567846344
kat-ta,kata,0.0,0.061224695707568236
hot-a,hota,0.0,0.4761906499388249
hot-a,hola,1.0,0.29931960985675304
hot-a,hoa,0.0,0.22448974020442203
hot-ta,hotta,1.0,0.8571423886139684
hot-ta,holta,0.0,0.08163291567846344
hot-ta,hota,0.0,0.061224695707568236
mut-a,muta,0.0,0.4761906499388249
mut-a,mula,1.0,0.29931960985675304
mut-a,mua,0.0,0.22448974020442203
mut-ta,mutta,1.0,0.8571423886139684
mut-ta,multa,0.0,0.08163291567846344
mut-ta,muta,0.0,0.061224695707568236
mot-a,mota,0.0,0.4761906499388249
mot-a,mola,1.0,0.29931960985675304
mot-a,moa,0.0,0.22448974020442203
mot-ta,motta,1.0,0.8571423886139684
mot-ta,molta,0.0,0.08163291567846344
mot-ta,mota,0.0,0.061224695707568236
nit-a,nita,0.0,0.4761906499388249
nit-a,nila,1.0,0.29931960985675304
nit-a,nia,0.0,0.22448974020442203
nit-ta,nitta,1.0,0.8571423886139684
nit-ta,nilta,0.0,0.08163291567846344
nit-ta,nita,0.0,0.061224695707568236
tot-a,tota,0.0,0.4761906499388249
tot-a,tola,1.0,0.29931960985675304
tot-a,toa,0.0,0.22448974020442203
tot-ta,totta,1.0,0.8571423886139684
tot-ta,tolta,0.0,0.08163291567846344
tot-ta,tota,0.0,0.061224695707568236
not-a,nota,0.0,0.4761906499388249
not-a,nola,1.0,0.29931960985675304
not-a,noa,0.0,0.22448974020442203
not-ta,notta,1.0,0.8571423886139684
not-ta,nolta,0.0,0.08163291567846344
not-ta,nota,0.0,0.061224695707568236
mat-a,mata,0.0,0.4761906499388249
mat-a,mala,1.0,0.29931960985675304
mat-a,maa,0.0,0.22448974020442203
mat-ta,matta,1.0,0.8571423886139684
mat-ta,malta,0.0,0.08163291567846344
mat-ta,mata,0.0,0.061224695707568236
tus-a,tusa,1.0,0.4761906499388249
tus-a,tula,0.0,0.29931960985675304
tus-a,tua,0.0,0.22448974020442203
tus-ta,tutta,1.0,0.8571423886139684
tus-ta,tulta,0.0,0.08163291567846344
tus-ta,tuta,0.0,0.061224695707568236
sis-a,sisa,1.0,0.4761906499388249
sis-a,sila,0.0,0.29931960985675304
sis-a,sia,0.0,0.22448974020442203
sis-ta,sitta,1.0,0.8571423886139684
sis-ta,silta,0.0,0.08163291567846344
sis-ta,sita,0.0,0.061224695707568236
hus-a,husa,1.0,0.4761906499388249
hus-a,hula,0.0,0.29931960985675304
hus-a,hua,0.0,0.22448974020442203
hus-ta,hutta,1.0,0.8571423886139684
hus-ta,hulta,0.0,0.08163291567846344
hus-ta,huta,0.0,0.061224695707568236
kis-a,kisa,1.0,0.4761906499388249
kis-a,kila,0.0,0.29931960985675304
kis-a,kia,0.0,0.22448974020442203
kis-ta,kitta,1.0,0.8571423886139684
kis-ta,kilta,0.0,0.08163291567846344
kis-ta,kita,0.0,0.061224695707568236
mis-a,misa,0.0,0.4761906499388249
mis-a,mila,0.0,0.29931960985675304
mis-a,mia,1.0,0.22448974020442203
mis-ta,mitta,1.0,0.8571423886139684
mis-ta,milta,0.0,0.08163291567846344
mis-ta,mita,0.0,0.061224695707568236
pes-a,pesa,0.0,0.4761906499388249
pes-a,pela,0.0,0.29931960985675304
pes-a,pea,1.0,0.22448974020442203
pes-ta,petta,1.0,0.8571423886139684
pes-ta,pelta,0.0,0.08163291567846344
pes-ta,peta,0.0,0.061224695707568236
ses-a,sesa,0.0,0.4761906499388249
ses-a,sela,0.0,0.29931960985675304
ses-a,sea,1.0,0.22448974020442203
ses-ta,setta,1.0,0.8571423886139684
ses-ta,selta,0.0,0.08163291567846344
ses-ta,seta,0.0,0.061224695707568236
nes-a,nesa,0.0,0.4761906499388249
nes-a,nela,0.0,0.29931960985675304
nes-a,nea,1.0,0.22448974020442203
nes-ta,netta,1.0,0.8571423886139684
nes-ta,nelta,0.0,0.08163291567846344
nes-ta,neta,0.0,0.061224695707568236
nus-a,nusa,0.0,0.4761906499388249
nus-a,nula,0.0,0.29931960985675304
nus-a,nua,1.0,0.22448974020442203
nus-ta,nutta,1.0,0.8571423886139684
nus-ta,nulta,0.0,0.08163291567846344
nus-ta,nuta,0.0,0.061224695707568236
